tree_ID,family,block,endo_trt,rust_trt
1235,ENDO-157,4,EMF,Yes
1236,ENDO-157,4,EMF,Yes
1237,ENDO-159,4,EMF,Yes
1238,ENDO-159,4,EMF,Yes
1239,ENDO-159,4,EMF,Yes
1240,ENDO-159,4,EMF,Yes
1241,ENDO-156,4,EMF,Yes
1242,ENDO-156,4,EMF,Yes
1243,ENDO-156,4,EMF,Yes
1244,ENDO-156,4,EMF,Yes
1245,ENDO-156,4,EMF,Yes
1246,ENDO-156,4,EMF,Yes
1247,ENDO-160,4,EMF,Yes
1248,ENDO-160,4,EMF,Yes
1249,ENDO-160,4,EMF,Yes
1250,ENDO-160,4,EMF,Yes
1251,ENDO-160,4,EMF,Yes
1252,ENDO-155,4,EMF,Yes
1253,ENDO-155,4,EMF,Yes
1254,ENDO-155,4,EMF,Yes
1255,ENDO-155,4,EMF,Yes
1256,ENDO-155,4,EMF,Yes
1257,ENDO-155,4,EMF,Yes
1258,ENDO-156,1,FFE+EMF,Yes
1259,ENDO-156,1,FFE+EMF,Yes
1260,ENDO-156,1,FFE+EMF,Yes
1261,ENDO-156,1,FFE+EMF,Yes
1262,ENDO-156,1,FFE+EMF,Yes
1263,ENDO-156,1,FFE+EMF,Yes
1264,ENDO-158,1,FFE+EMF,Yes
1265,ENDO-158,1,FFE+EMF,Yes
1266,ENDO-158,1,FFE+EMF,Yes
1267,ENDO-158,1,FFE+EMF,Yes
1268,ENDO-158,1,FFE+EMF,Yes
1269,ENDO-158,1,FFE+EMF,Yes
1270,ENDO-159,1,FFE+EMF,Yes
1271,ENDO-159,1,FFE+EMF,Yes
1272,ENDO-159,1,FFE+EMF,Yes
1273,ENDO-159,1,FFE+EMF,Yes
1274,ENDO-160,1,FFE+EMF,Yes
1275,ENDO-160,1,FFE+EMF,Yes
1276,ENDO-160,1,FFE+EMF,Yes
1277,ENDO-160,1,FFE+EMF,Yes
1278,ENDO-160,1,FFE+EMF,Yes
1279,ENDO-157,1,FFE+EMF,Yes
1280,ENDO-157,1,FFE+EMF,Yes
1281,ENDO-157,1,FFE+EMF,Yes
1282,ENDO-157,1,FFE+EMF,Yes
1283,ENDO-155,1,FFE+EMF,Yes
1284,ENDO-155,1,FFE+EMF,Yes
1285,ENDO-155,1,FFE+EMF,Yes
1286,ENDO-155,1,FFE+EMF,Yes
1287,ENDO-155,1,FFE+EMF,Yes
1288,ENDO-155,1,FFE+EMF,Yes
1289,ENDO-155,1,FFE+EMF,Yes
1290,ENDO-159,2,FFE+EMF,Yes
1291,ENDO-159,2,FFE+EMF,Yes
1292,ENDO-159,2,FFE+EMF,Yes
1293,ENDO-159,2,FFE+EMF,Yes
1294,ENDO-159,2,FFE+EMF,Yes
1295,ENDO-158,2,FFE+EMF,Yes
1296,ENDO-158,2,FFE+EMF,Yes
1297,ENDO-158,2,FFE+EMF,Yes
1298,ENDO-158,2,FFE+EMF,Yes
1299,ENDO-158,2,FFE+EMF,Yes
1300,ENDO-158,2,FFE+EMF,Yes
1301,ENDO-157,2,FFE+EMF,Yes
1302,ENDO-157,2,FFE+EMF,Yes
1303,ENDO-157,2,FFE+EMF,Yes
1304,ENDO-157,2,FFE+EMF,Yes
1305,ENDO-157,2,FFE+EMF,Yes
1306,ENDO-155,2,FFE+EMF,Yes
1307,ENDO-155,2,FFE+EMF,Yes
1308,ENDO-155,2,FFE+EMF,Yes
1309,ENDO-155,2,FFE+EMF,Yes
1310,ENDO-155,2,FFE+EMF,Yes
1311,ENDO-155,2,FFE+EMF,Yes
1312,ENDO-155,2,FFE+EMF,Yes
1313,ENDO-160,2,FFE+EMF,Yes
1314,ENDO-160,2,FFE+EMF,Yes
1315,ENDO-160,2,FFE+EMF,Yes
1316,ENDO-160,2,FFE+EMF,Yes
1317,ENDO-156,2,FFE+EMF,Yes
1318,ENDO-156,2,FFE+EMF,Yes
1319,ENDO-156,2,FFE+EMF,Yes
1320,ENDO-156,2,FFE+EMF,Yes
1321,ENDO-156,2,FFE+EMF,Yes
1322,ENDO-156,3,FFE+EMF,Yes
1323,ENDO-156,3,FFE+EMF,Yes
1324,ENDO-156,3,FFE+EMF,Yes
1325,ENDO-156,3,FFE+EMF,Yes
1326,ENDO-156,3,FFE+EMF,Yes
1327,ENDO-158,3,FFE+EMF,Yes
1328,ENDO-158,3,FFE+EMF,Yes
1329,ENDO-158,3,FFE+EMF,Yes
1330,ENDO-158,3,FFE+EMF,Yes
1331,ENDO-158,3,FFE+EMF,Yes
1332,ENDO-158,3,FFE+EMF,Yes
1333,ENDO-158,3,FFE+EMF,Yes
1334,ENDO-160,3,FFE+EMF,Yes
1335,ENDO-160,3,FFE+EMF,Yes
1336,ENDO-160,3,FFE+EMF,Yes
1337,ENDO-160,3,FFE+EMF,Yes
1338,ENDO-160,3,FFE+EMF,Yes
1339,ENDO-155,3,FFE+EMF,Yes
1340,ENDO-155,3,FFE+EMF,Yes
1341,ENDO-155,3,FFE+EMF,Yes
1342,ENDO-155,3,FFE+EMF,Yes
1343,ENDO-155,3,FFE+EMF,Yes
1344,ENDO-155,3,FFE+EMF,Yes
1345,ENDO-155,3,FFE+EMF,Yes
1346,ENDO-159,3,FFE+EMF,Yes
1347,ENDO-159,3,FFE+EMF,Yes
1348,ENDO-159,3,FFE+EMF,Yes
1349,ENDO-159,3,FFE+EMF,Yes
1350,ENDO-157,3,FFE+EMF,Yes
1351,ENDO-157,3,FFE+EMF,Yes
1352,ENDO-157,3,FFE+EMF,Yes
1353,ENDO-157,3,FFE+EMF,Yes
1354,ENDO-159,4,FFE+EMF,Yes
1355,ENDO-159,4,FFE+EMF,Yes
1356,ENDO-159,4,FFE+EMF,Yes
1357,ENDO-159,4,FFE+EMF,Yes
1358,ENDO-159,4,FFE+EMF,Yes
1359,ENDO-160,4,FFE+EMF,Yes
1360,ENDO-160,4,FFE+EMF,Yes
1361,ENDO-160,4,FFE+EMF,Yes
1362,ENDO-160,4,FFE+EMF,Yes
1363,ENDO-156,4,FFE+EMF,Yes
1364,ENDO-156,4,FFE+EMF,Yes
1365,ENDO-156,4,FFE+EMF,Yes
1366,ENDO-156,4,FFE+EMF,Yes
1367,ENDO-156,4,FFE+EMF,Yes
1368,ENDO-157,4,FFE+EMF,Yes
1369,ENDO-157,4,FFE+EMF,Yes
1370,ENDO-157,4,FFE+EMF,Yes
1371,ENDO-157,4,FFE+EMF,Yes
1372,ENDO-155,4,FFE+EMF,Yes
1373,ENDO-155,4,FFE+EMF,Yes
1374,ENDO-155,4,FFE+EMF,Yes
1375,ENDO-155,4,FFE+EMF,Yes
1376,ENDO-155,4,FFE+EMF,Yes
1377,ENDO-155,4,FFE+EMF,Yes
1378,ENDO-155,4,FFE+EMF,Yes
1379,ENDO-158,4,FFE+EMF,Yes
1380,ENDO-158,4,FFE+EMF,Yes
1381,ENDO-158,4,FFE+EMF,Yes
1382,ENDO-158,4,FFE+EMF,Yes
1383,ENDO-158,4,FFE+EMF,Yes
1384,ENDO-158,4,FFE+EMF,Yes
1385,ENDO-158,4,FFE+EMF,Yes
1386,ENDO-157,1,Control,Yes
1387,ENDO-157,1,Control,Yes
1388,ENDO-157,1,Control,Yes
1389,ENDO-157,1,Control,Yes
1390,ENDO-155,1,Control,Yes
1391,ENDO-155,1,Control,Yes
1392,ENDO-155,1,Control,Yes
1393,ENDO-155,1,Control,Yes
1394,ENDO-155,1,Control,Yes
1395,ENDO-155,1,Control,Yes
1396,ENDO-155,1,Control,Yes
1397,ENDO-160,1,Control,Yes
1398,ENDO-160,1,Control,Yes
1399,ENDO-160,1,Control,Yes
1400,ENDO-160,1,Control,Yes
1401,ENDO-160,1,Control,Yes
1402,ENDO-159,1,Control,Yes
1403,ENDO-159,1,Control,Yes
1404,ENDO-159,1,Control,Yes
1405,ENDO-159,1,Control,Yes
1406,ENDO-158,1,Control,Yes
1407,ENDO-158,1,Control,Yes
1408,ENDO-158,1,Control,Yes
1409,ENDO-158,1,Control,Yes
1410,ENDO-158,1,Control,Yes
1411,ENDO-158,1,Control,Yes
1412,ENDO-156,1,Control,Yes
1413,ENDO-156,1,Control,Yes
1414,ENDO-156,1,Control,Yes
1415,ENDO-156,1,Control,Yes
1416,ENDO-156,1,Control,Yes
1417,ENDO-156,1,Control,Yes
1418,ENDO-159,2,Control,Yes
1419,ENDO-159,2,Control,Yes
1420,ENDO-159,2,Control,Yes
1421,ENDO-159,2,Control,Yes
1422,ENDO-159,2,Control,Yes
1423,ENDO-155,2,Control,Yes
1424,ENDO-155,2,Control,Yes
1425,ENDO-155,2,Control,Yes
1426,ENDO-155,2,Control,Yes
1427,ENDO-155,2,Control,Yes
1428,ENDO-155,2,Control,Yes
1429,ENDO-155,2,Control,Yes
1430,ENDO-157,2,Control,Yes
1431,ENDO-157,2,Control,Yes
1432,ENDO-157,2,Control,Yes
1433,ENDO-157,2,Control,Yes
1434,ENDO-157,2,Control,Yes
1435,ENDO-160,2,Control,Yes
1436,ENDO-160,2,Control,Yes
1437,ENDO-160,2,Control,Yes
1438,ENDO-160,2,Control,Yes
1439,ENDO-156,2,Control,Yes
1440,ENDO-156,2,Control,Yes
1441,ENDO-156,2,Control,Yes
1442,ENDO-156,2,Control,Yes
1443,ENDO-156,2,Control,Yes
1444,ENDO-158,2,Control,Yes
1445,ENDO-158,2,Control,Yes
1446,ENDO-158,2,Control,Yes
1447,ENDO-158,2,Control,Yes
1448,ENDO-158,2,Control,Yes
1449,ENDO-158,2,Control,Yes
1450,ENDO-157,3,Control,Yes
1451,ENDO-157,3,Control,Yes
1452,ENDO-157,3,Control,Yes
1453,ENDO-157,3,Control,Yes
1454,ENDO-156,3,Control,Yes
1455,ENDO-156,3,Control,Yes
1456,ENDO-156,3,Control,Yes
1457,ENDO-156,3,Control,Yes
1458,ENDO-156,3,Control,Yes
1459,ENDO-159,3,Control,Yes
1460,ENDO-159,3,Control,Yes
1461,ENDO-159,3,Control,Yes
1462,ENDO-159,3,Control,Yes
1463,ENDO-155,3,Control,Yes
1464,ENDO-155,3,Control,Yes
1465,ENDO-155,3,Control,Yes
