tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,dehydroabietic,dw,0.368
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,levopiramic,dw,10.535
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,sandaracopiramic,dw,2.505
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,neoabietic,dw,0.302
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,palustric,dw,2.227
1054,2019,FFE,pre_rust,2,ENDO-157,diterpene,abietic,dw,1.312
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,dehydroabietic,dw,0.184
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,levopiramic,dw,7.424
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,sandaracopiramic,dw,1.491
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,neoabietic,dw,0.106
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,palustric,dw,0.438
1055,2019,FFE,pre_rust,2,ENDO-159,diterpene,abietic,dw,0.983
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,dehydroabietic,dw,0.214
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,levopiramic,dw,13.799
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,sandaracopiramic,dw,2.782
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,neoabietic,dw,0.211
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,palustric,dw,1.308
1057,2019,FFE,pre_rust,2,ENDO-159,diterpene,abietic,dw,0.584
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,dehydroabietic,dw,0.396
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,levopiramic,dw,6.408
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,sandaracopiramic,dw,3.71
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,neoabietic,dw,0.596
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,palustric,dw,3.831
1059,2019,FFE,pre_rust,2,ENDO-156,diterpene,abietic,dw,1.025
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,dehydroabietic,dw,0.3
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,levopiramic,dw,31.482
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,sandaracopiramic,dw,1.192
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,neoabietic,dw,0.413
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,palustric,dw,3.262
1062,2019,FFE,pre_rust,2,ENDO-156,diterpene,abietic,dw,0.554
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,dehydroabietic,dw,0.455
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,levopiramic,dw,28.707
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,sandaracopiramic,dw,3.498
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,neoabietic,dw,0.552
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,palustric,dw,3.448
1064,2019,FFE,pre_rust,2,ENDO-156,diterpene,abietic,dw,1.732
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,dehydroabietic,dw,0.349
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,levopiramic,dw,10.534
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,sandaracopiramic,dw,2.574
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,neoabietic,dw,0.35
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,palustric,dw,1.92
1069,2019,FFE,pre_rust,3,ENDO-158,diterpene,abietic,dw,2.252
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,dehydroabietic,dw,0.304
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,levopiramic,dw,2.836
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,sandaracopiramic,dw,2.359
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,neoabietic,dw,0.292
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,palustric,dw,2.08
1070,2019,FFE,pre_rust,3,ENDO-158,diterpene,abietic,dw,0.945
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,dehydroabietic,dw,0.242
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,levopiramic,dw,10.992
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,sandaracopiramic,dw,2.107
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,neoabietic,dw,0.31
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,palustric,dw,2.055
1076,2019,FFE,pre_rust,3,ENDO-156,diterpene,abietic,dw,0.462
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,dehydroabietic,dw,0.514
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,levopiramic,dw,9.26
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,sandaracopiramic,dw,4.315
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,neoabietic,dw,0.431
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,palustric,dw,2.736
1078,2019,FFE,pre_rust,3,ENDO-157,diterpene,abietic,dw,1.42
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,dehydroabietic,dw,0.272
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,levopiramic,dw,25.29
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,sandaracopiramic,dw,2.443
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,neoabietic,dw,0.246
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,palustric,dw,1.65
1080,2019,FFE,pre_rust,3,ENDO-157,diterpene,abietic,dw,0.988
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,dehydroabietic,dw,0.251
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,levopiramic,dw,10.467
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,sandaracopiramic,dw,2.143
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,neoabietic,dw,0.307
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,palustric,dw,2.255
1084,2019,FFE,pre_rust,3,ENDO-155,diterpene,abietic,dw,0.607
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,dehydroabietic,dw,0.405
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,levopiramic,dw,3.595
1086,2019,FFE,pre_rust,3,ENDO-155,diterpene,sandaracopiramic,dw,3.5
