tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1218,4220,36.5,4,2,Yes,1,21,4,2,1,1,0,0,1,1,0,0,0,4,1,1,1,0,1,0,1,12
1219,4220,NA,4,9,No,3,14.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
1220,4220,42,0,0,Yes,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5
1221,4220,NA,4,9,No,3,28.3,4,7,1,3,5,0,0,5,4,6,5,4,3,1,2,3,0,0,3,10.5
1222,4220,NA,4,9,No,3,33.3,4,7,1,9,10,0,0,10,4,7,10,4,6,1,9,10,0,0,10,15.6
1223,4220,NA,4,9,No,3,19.5,4,7,1,4,4,0,0,4,4,5,4,4,3,1,2,4,0,0,4,9.5
1224,4220,NA,4,9,No,3,NA,4,9,3,NA,NA,NA,NA,NA,4,8,14,4,7,1,10,14,0,0,14,14.3
1225,4220,31,4,8,Yes,2,27,4,8,1,7,8,0,0,8,4,8,8,4,6,1,6,8,0,0,8,15
1226,4100,28,4,7,Yes,1,23.3,4,7,1,3,4,0,0,4,4,7,3,4,3,1,1,2,0,0,2,7.4
1227,4100,37,4,7,Yes,1,24.5,4,7,1,7,7,0,0,7,4,7,7,4,2,1,3,4,0,0,4,12.2
1228,4100,52.5,4,1,Yes,1,23,4,1,1,0,0,1,0,1,4,1,2,4,1,1,0,0,0,1,1,12
1229,4100,43.5,4,7,Yes,2,22,4,5,1,3,1,2,0,3,4,2,3,4,2,1,1,0,0,1,1,12
1230,4100,43,0,0,Yes,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
1231,4100,40.5,4,6,Yes,1,24.5,4,4,1,4,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,12
1232,4100,40.5,4,6,Yes,6,28,4,6,1,4,2,2,0,4,4,4,4,0,0,1,0,0,0,0,0,14
1233,4100,NA,4,9,No,3,24,4,8,1,4,17,0,0,17,4,6,17,4,5,1,4,17,0,0,17,16.8
1234,4100,NA,4,9,No,3,26,4,6,1,3,5,0,0,5,4,5,5,4,1,1,0,5,0,0,5,12
1235,4100,24,0,0,Yes,1,15.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
1236,4100,19,0,0,Yes,1,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
