tree_ID,ht6,ht5,ht1
1544,46,23.5,10.4
1545,53,25.1,13.2
1546,NA,NA,14.5
1547,64,30.5,14.1
1548,66.5,37.4,15
1549,53,38.7,14
1550,59.5,38.7,17.6
1551,55.5,33.2,18.6
1552,70.5,37.3,18.6
1553,45.5,24.4,12.4
1554,69,37.5,17.4
1555,63.5,30.6,15.5
1556,63.5,31.3,13.6
1557,61,25.8,12.8
1558,66.5,37.5,17.5
1559,67.5,36,17
1560,NA,NA,15.9
1561,57.5,31.5,14.8
1562,63.5,43,15
1563,68.5,31.4,18.4
1564,54.5,28.3,13.3
1565,32.5,18.4,9
1566,56,24.6,11.9
1567,48,33.4,13.6
1568,64.5,42.7,17.1
1569,49.5,37.7,13.5
1570,53.5,39,15.3
1571,37.5,22.5,8.9
1572,43.5,19.4,10.7
1573,58,35.8,11.5
1574,69,37.6,18
1575,35,16.5,6.6
1576,49,31.5,13
1577,53.5,25.5,17.3
1578,51.5,30,21.9
1579,39.5,20.3,12.5
1580,71.5,39.8,14.2
1581,63.5,31.4,14.5
1582,57,28.3,11
1583,41.5,22.5,10.5
1584,45,25,7.8
1585,70.5,34,12.1
1586,55.5,33.5,11
1587,67.5,31.3,11.6
1588,52,27.3,11.6
1589,56,27.3,11.5
1590,64,30.5,11.4
1591,65.5,44,15.2
1592,46.5,30.3,12.7
1593,37,20.2,12.1
1594,47.5,29,13.3
1595,64.5,45,15.7
1596,56.5,28.5,13
1597,54.5,35.5,16.4
1598,41,37,15
1599,62.5,38.8,16.5
1600,NA,NA,13.4
1601,53.5,27.5,15.6
1602,55.5,32,14.2
1603,56,32.5,14
1604,66,33,12.8
1605,NA,NA,15.4
1606,52.5,30,15
1607,14.5,12.5,8.3
1608,51,29,13.5
1609,47.5,31,13.1
1610,41.5,26.7,17
1611,43.5,24.8,12.9
1612,37.5,26.5,13.6
1613,42.5,23.4,9.1
1614,43.5,23.6,12.5
1615,63.5,38.7,14.5
1616,37,19.7,10
1617,13,11.8,11.8
1618,46.5,23.2,9.5
1619,17.5,10.6,5.5
1620,40.5,30.4,12.4
1621,51.5,36.2,16
1622,69.5,40.7,18.1
1623,61,29.6,15.7
1624,49.5,28,11.6
1625,57,26.1,13
1626,33.5,24.3,10
1627,58.5,30.8,14.4
1628,38.5,24.5,7
1629,52,33.8,13
1630,42.5,23.5,11.4
1631,45.5,28.9,16
1632,46.5,26.7,12.4
1633,38.5,24.7,12.5
1634,NA,NA,13.3
1635,32,23.1,16
1636,35.5,26.7,12.5
1637,49,26,10.2
1638,50.5,28.8,9.6
1639,52,27.5,14.7
1640,42.5,30,12.2
1641,54,31.4,14
1642,57.5,29.3,9.3
1643,50,24.5,9
1644,47.5,28.5,12.6
1645,39.5,22.4,11.5
1646,41.5,24.5,11.6
