tree_ID,year,treatment,assessment,block,family
1947,2019,Control,pre_rust,2,ENDO-156
1951,2019,Control,pre_rust,2,ENDO-158
1953,2019,Control,pre_rust,2,ENDO-158
1960,2019,Control,pre_rust,2,ENDO-157
1961,2019,Control,pre_rust,2,ENDO-157
1963,2019,Control,pre_rust,3,ENDO-159
1965,2019,Control,pre_rust,3,ENDO-159
1969,2019,Control,pre_rust,3,ENDO-157
1970,2019,Control,pre_rust,3,ENDO-157
1973,2019,Control,pre_rust,3,ENDO-156
1976,2019,Control,pre_rust,3,ENDO-156
1978,2019,Control,pre_rust,3,ENDO-158
1981,2019,Control,pre_rust,3,ENDO-158
1984,2019,Control,pre_rust,3,ENDO-160
1986,2019,Control,pre_rust,3,ENDO-160
1989,2019,Control,pre_rust,3,ENDO-155
1991,2019,Control,pre_rust,3,ENDO-155
1994,2019,Control,pre_rust,4,ENDO-155
2000,2019,Control,pre_rust,4,ENDO-155
2003,2019,Control,pre_rust,4,ENDO-157
2004,2019,Control,pre_rust,4,ENDO-157
2006,2019,Control,pre_rust,4,ENDO-160
2008,2019,Control,pre_rust,4,ENDO-160
2014,2019,Control,pre_rust,4,ENDO-156
2015,2019,Control,pre_rust,4,ENDO-156
2019,2019,Control,pre_rust,4,ENDO-158
2020,2019,Control,pre_rust,4,ENDO-158
2023,2019,Control,pre_rust,4,ENDO-159
2025,2019,Control,pre_rust,4,ENDO-159
1001,2020,FFE,rust_inoc,1,ENDO-159
1002,2020,FFE,rust_inoc,1,ENDO-159
1003,2020,FFE,rust_inoc,1,ENDO-159
1006,2020,FFE,rust_inoc,1,ENDO-156
1007,2020,FFE,rust_inoc,1,ENDO-156
1009,2020,FFE,rust_inoc,1,ENDO-156
1012,2020,FFE,rust_inoc,1,ENDO-158
1016,2020,FFE,rust_inoc,1,ENDO-158
1018,2020,FFE,rust_inoc,1,ENDO-157
1019,2020,FFE,rust_inoc,1,ENDO-157
1021,2020,FFE,rust_inoc,1,ENDO-157
1023,2020,FFE,rust_inoc,1,ENDO-155
1028,2020,FFE,rust_inoc,1,ENDO-155
1029,2020,FFE,rust_inoc,1,ENDO-160
1030,2020,FFE,rust_inoc,1,ENDO-160
1033,2020,FFE,rust_inoc,2,ENDO-160
1034,2020,FFE,rust_inoc,2,ENDO-160
1036,2020,FFE,rust_inoc,2,ENDO-160
1040,2020,FFE,rust_inoc,2,ENDO-158
1041,2020,FFE,rust_inoc,2,ENDO-158
1043,2020,FFE,rust_inoc,2,ENDO-158
1046,2020,FFE,rust_inoc,2,ENDO-155
1048,2020,FFE,rust_inoc,2,ENDO-155
1052,2020,FFE,rust_inoc,2,ENDO-157
1054,2020,FFE,rust_inoc,2,ENDO-157
1055,2020,FFE,rust_inoc,2,ENDO-159
1057,2020,FFE,rust_inoc,2,ENDO-159
1059,2020,FFE,rust_inoc,2,ENDO-156
1062,2020,FFE,rust_inoc,2,ENDO-156
1064,2020,FFE,rust_inoc,2,ENDO-156
1069,2020,FFE,rust_inoc,3,ENDO-158
1070,2020,FFE,rust_inoc,3,ENDO-158
1071,2020,FFE,rust_inoc,3,ENDO-158
1076,2020,FFE,rust_inoc,3,ENDO-156
1078,2020,FFE,rust_inoc,3,ENDO-157
1080,2020,FFE,rust_inoc,3,ENDO-157
1084,2020,FFE,rust_inoc,3,ENDO-155
1085,2020,FFE,rust_inoc,3,ENDO-155
1086,2020,FFE,rust_inoc,3,ENDO-155
1088,2020,FFE,rust_inoc,3,ENDO-159
1090,2020,FFE,rust_inoc,3,ENDO-159
1091,2020,FFE,rust_inoc,3,ENDO-159
1093,2020,FFE,rust_inoc,3,ENDO-160
1094,2020,FFE,rust_inoc,3,ENDO-160
1096,2020,FFE,rust_inoc,3,ENDO-160
1098,2020,FFE,rust_inoc,4,ENDO-155
1100,2020,FFE,rust_inoc,4,ENDO-155
1101,2020,FFE,rust_inoc,4,ENDO-155
1104,2020,FFE,rust_inoc,4,ENDO-159
1105,2020,FFE,rust_inoc,4,ENDO-159
1110,2020,FFE,rust_inoc,4,ENDO-158
1111,2020,FFE,rust_inoc,4,ENDO-158
1113,2020,FFE,rust_inoc,4,ENDO-158
1117,2020,FFE,rust_inoc,4,ENDO-160
1118,2020,FFE,rust_inoc,4,ENDO-160
1120,2020,FFE,rust_inoc,4,ENDO-157
1122,2020,FFE,rust_inoc,4,ENDO-157
1123,2020,FFE,rust_inoc,4,ENDO-157
1127,2020,FFE,rust_inoc,4,ENDO-156
1129,2020,FFE,rust_inoc,4,ENDO-156
1130,2020,EMF,rust_inoc,1,ENDO-156
1131,2020,EMF,rust_inoc,1,ENDO-156
1133,2020,EMF,rust_inoc,1,ENDO-156
1135,2020,EMF,rust_inoc,1,ENDO-158
1139,2020,EMF,rust_inoc,1,ENDO-158
1143,2020,EMF,rust_inoc,1,ENDO-159
1145,2020,EMF,rust_inoc,1,ENDO-159
1146,2020,EMF,rust_inoc,1,ENDO-157
1148,2020,EMF,rust_inoc,1,ENDO-157
1152,2020,EMF,rust_inoc,1,ENDO-155
1155,2020,EMF,rust_inoc,1,ENDO-155
1156,2020,EMF,rust_inoc,1,ENDO-155
1157,2020,EMF,rust_inoc,1,ENDO-160
1158,2020,EMF,rust_inoc,1,ENDO-160
1161,2020,EMF,rust_inoc,1,ENDO-160
1164,2020,EMF,rust_inoc,2,ENDO-155
1166,2020,EMF,rust_inoc,2,ENDO-155
1168,2020,EMF,rust_inoc,2,ENDO-155
1169,2020,EMF,rust_inoc,2,ENDO-159
1170,2020,EMF,rust_inoc,2,ENDO-159
1172,2020,EMF,rust_inoc,2,ENDO-159
1176,2020,EMF,rust_inoc,2,ENDO-160
1177,2020,EMF,rust_inoc,2,ENDO-160
1181,2020,EMF,rust_inoc,2,ENDO-158
1183,2020,EMF,rust_inoc,2,ENDO-158
1185,2020,EMF,rust_inoc,2,ENDO-156
1188,2020,EMF,rust_inoc,2,ENDO-156
1191,2020,EMF,rust_inoc,2,ENDO-157
1192,2020,EMF,rust_inoc,2,ENDO-157
1193,2020,EMF,rust_inoc,2,ENDO-157
1194,2020,EMF,rust_inoc,3,ENDO-155
1197,2020,EMF,rust_inoc,3,ENDO-155
1202,2020,EMF,rust_inoc,3,ENDO-157
1204,2020,EMF,rust_inoc,3,ENDO-157
1205,2020,EMF,rust_inoc,3,ENDO-159
1208,2020,EMF,rust_inoc,3,ENDO-159
1209,2020,EMF,rust_inoc,3,ENDO-159
1211,2020,EMF,rust_inoc,3,ENDO-158
1212,2020,EMF,rust_inoc,3,ENDO-158
1215,2020,EMF,rust_inoc,3,ENDO-158
1216,2020,EMF,rust_inoc,3,ENDO-156
1220,2020,EMF,rust_inoc,3,ENDO-156
1222,2020,EMF,rust_inoc,3,ENDO-160
1223,2020,EMF,rust_inoc,3,ENDO-160
1224,2020,EMF,rust_inoc,3,ENDO-160
1227,2020,EMF,rust_inoc,4,ENDO-158
1229,2020,EMF,rust_inoc,4,ENDO-158
1230,2020,EMF,rust_inoc,4,ENDO-158
1234,2020,EMF,rust_inoc,4,ENDO-157
1235,2020,EMF,rust_inoc,4,ENDO-157
1236,2020,EMF,rust_inoc,4,ENDO-157
1238,2020,EMF,rust_inoc,4,ENDO-159
1239,2020,EMF,rust_inoc,4,ENDO-159
1241,2020,EMF,rust_inoc,4,ENDO-156
1244,2020,EMF,rust_inoc,4,ENDO-156
1246,2020,EMF,rust_inoc,4,ENDO-156
1247,2020,EMF,rust_inoc,4,ENDO-160
